Nom	Type	Rareté	Force	Perception	Endurence	Charisme	Intelligence	Agillité	Chance	Min dégat	Max dégat
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil à clous	Arme	Rare	0	0	0	0	0	0	0	14	15
Fusil de combat renforcé	Arme	Rare	0	0	0	0	0	0	0	13	16
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil à clous amélioré	Arme	Rare	0	0	0	0	0	0	0	14	16
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Lance-flammes rouillé	Arme	Rare	0	0	0	0	0	0	0	15	15
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Eventreur renforcé	Arme	Rare	0	0	0	0	0	0	0	13	18
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Lance-flammes	Arme	Rare	0	0	0	0	0	0	0	15	16
Fusil de Gauss rouillé	Arme	Rare	0	0	0	0	0	0	0	16	16
Lance-flammes amélioré	Arme	Rare	0	0	0	0	0	0	0	15	17
Pioche	Arme	Rare	0	0	0	0	0	0	0	11	21
Fusil bouillonant de l'Institut	Arme	Rare	0	0	0	0	0	0	0	15	18
Fusil de Gauss	Arme	Rare	0	0	0	0	0	0	0	16	17
Lance-flammes renforcé	Arme	Rare	0	0	0	0	0	0	0	15	18
Fusil à plasma rouillé	Arme	Rare	0	0	0	0	0	0	0	17	17
Junk jet tactique	Arme	Rare	0	0	0	0	0	0	0	15	19
Lance-flammes préssurisé	Arme	Rare	0	0	0	0	0	0	0	15	19
Fusil à plasma	Arme	Rare	0	0	0	0	0	0	0	17	18
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Pistolet de Wild Bill	Arme	Légendaire	0	0	0	0	0	0	0	1	6
Nomade solitaire	Arme	Légendaire	0	0	0	0	0	0	0	2	7
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Ol' Painless	Arme	Légendaire	0	0	0	0	0	0	0	5	10
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fin du contrebandier	Arme	Légendaire	0	0	0	0	0	0	0	7	12
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Infiltrateur	Arme	Légendaire	0	0	0	0	0	0	0	8	13
Fille du fermier	Arme	Légendaire	0	0	0	0	0	0	0	9	14
Mousquet laser	Arme	Légendaire	0	0	0	0	0	0	0	10	13
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fusil waser	Arme	Légendaire	0	0	0	0	0	0	0	12	17
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fusil cal .12 de Charon	Arme	Légendaire	0	0	0	0	0	0	0	13	18
Poing assisté	Arme	Légendaire	0	0	0	0	0	0	0	13	18
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Poing assisté amélioré	Arme	Légendaire	0	0	0	0	0	0	0	14	19
Désintégrateur alien	Arme	Légendaire	0	0	0	0	0	0	0	17	17
Fusil de Gauss amélioré	Arme	Légendaire	0	0	0	0	0	0	0	16	18
Nas	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Burnmaster	Arme	Légendaire	0	0	0	0	0	0	0	15	20
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fusil de Gauss renforcé	Arme	Légendaire	0	0	0	0	0	0	0	16	19
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fusil à plasma modifié	Arme	Légendaire	0	0	0	0	0	0	0	17	19
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Lance-plasma	Arme	Légendaire	0	0	0	0	0	0	0	17	19
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Junk jet électrifié	Arme	Légendaire	0	0	0	0	0	0	0	16	21
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Lance-plasma (alien)	Arme	Légendaire	0	0	0	0	0	0	0	17	21
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Poing assisté personnalisé d'Ed	Arme	Légendaire	0	0	0	0	0	0	0	16	22
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fusil à plasma surchargé	Arme	Légendaire	0	0	0	0	0	0	0	17	22
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Lance-plasma à agitation	Arme	Légendaire	0	0	0	0	0	0	0	18	22
Minigun	Arme	Légendaire	0	0	0	0	0	0	0	19	20
Pistolet alien précis	Arme	Légendaire	0	0	0	0	0	0	0	18	21
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Lance-missiles rouillé	Arme	Légendaire	0	0	0	0	0	0	0	20	20
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Minigun amélioré	Arme	Légendaire	0	0	0	0	0	0	0	19	21
Monstre vert	Arme	Légendaire	0	0	0	0	0	0	0	17	23
Pistolet alien surchargé	Arme	Légendaire	0	0	0	0	0	0	0	18	22
Déstabilisateur	Arme	Légendaire	0	0	0	0	0	0	0	18	23
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Lance-missiles	Arme	Légendaire	0	0	0	0	0	0	0	20	21
Minigun renforcé	Arme	Légendaire	0	0	0	0	0	0	0	19	22
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Laser Gatling rouillé	Arme	Légendaire	0	0	0	0	0	0	0	21	21
Minigun perforant	Arme	Légendaire	0	0	0	0	0	0	0	19	23
Cracheur de plomb	Arme	Légendaire	0	0	0	0	0	0	0	19	24
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Vengeance du tecnicien	Arme	Légendaire	0	0	0	0	0	0	0	18	25
Epée de pillard impitoyable	Arme	Légendaire	0	0	0	0	0	0	0	16	28
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Fusil de Virgil	Arme	Légendaire	0	0	0	0	0	0	0	19	26
Lance-miss	Arme	Légendaire	0	0	0	0	0	0	0	20	25
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Vengeance	Arme	Légendaire	0	0	0	0	0	0	0	21	26
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Lance-plasma superchargé	Arme	Légendaire	0	0	0	0	0	0	0	21	27
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
Bouche d'incendie	Arme	Légendaire	0	0	0	0	0	0	0	19	31
NaS	Arme	Légendaire	0	0	0	0	0	0	0	NaN	NaN
